id,title_standard,title_alternatives,category,approximate_date,date_confidence,surviving_languages,manuscript_witnesses,primary_community_or_tradition,key_content_summary,evidence_of_historical_popularity_or_use,reasons_excluded_or_marginalized,relationship_to_canonical_texts,modern_editions_translations_digital_access,scholarly_notes,sources_count
NH-008,Allogenes,,nag-hammadi-gnostic,3rd c. CE; medium,medium,Coptic,Nag Hammadi; Porphyry mentions Allogenes-type texts?,Sethian Platonizing,Stranger receives revelations of Invisible Spirit; negative theology,Nag Hammadi; Porphyry mentions Allogenes-type texts?,Esoteric metaphysics,Minimal biblical relation,Nag Hammadi Library,Negative theology and ascent,2
NH-009,Trimorphic Protennoia,,nag-hammadi-gnostic,2nd–3rd c. CE; medium,medium,Coptic,Nag Hammadi,Sethian,First Thought descends in three forms to awaken the elect,Nag Hammadi,Esoteric revealer myth,Parallels Johannine Logos language,Nag Hammadi Library,Feminine divine voice and salvation by awakening,2
NH-010,"Thunder, Perfect Mind",,nag-hammadi-gnostic,2nd–3rd c. CE; medium,medium,Coptic,Nag Hammadi,Gnostic-adjacent wisdom poem,"Paradoxical female “I am” revelation: honored/despised, knowledge/ignorance",Nag Hammadi,Not clearly ecclesial; esoteric poem,Parallels Wisdom/Isis-style aretalogies,Nag Hammadi Library,Striking divine feminine/self-revelation text,2
NH-011,Second Treatise of the Great Seth,,nag-hammadi-gnostic,3rd c. CE; medium,medium,Coptic,Nag Hammadi,"Gnostic Christian, docetic",Christ laughs at ignorant rulers; true Christ not crucified as thought,Nag Hammadi,Docetic anti-orthodox passion theology,Contradicts canonical passion realism,Nag Hammadi Library,Radical alternative interpretation of crucifixion,2
NH-012,Coptic Apocalypse of Peter,,nag-hammadi-gnostic,3rd c. CE; medium,medium,Coptic,Nag Hammadi,Gnostic Christian,Peter sees true savior above cross; critique of bishops/orthodox,Nag Hammadi,"Anti-institutional, docetic/gnostic",Reinterprets Peter and passion,Nag Hammadi Library,Dissenting authority polemic,2
NH-013,Sophia of Jesus Christ,,nag-hammadi-gnostic,2nd–3rd c. CE; medium,medium,Coptic; Greek fragments,Nag Hammadi and Berlin Codex,Gnostic Christian,Risen Jesus reveals heavenly beings and salvation,Nag Hammadi and Berlin Codex,Esoteric cosmology,Post-resurrection dialogue genre,Nag Hammadi Library,Dialogic revelation form,2
NH-014,Eugnostos the Blessed,,nag-hammadi-gnostic,1st–2nd c. CE? medium,medium,Coptic; Greek fragment?,Two Nag Hammadi copies; related to Sophia of Jesus Christ,Non-Christian or Christianized gnostic wisdom,Philosophical revelation about transcendent God and aeons,Two Nag Hammadi copies; related to Sophia of Jesus Christ,Esoteric metaphysical tractate,Limited biblical content,Nag Hammadi Library,Shows pre-/non-Christian gnostic speculation possibly adapted by Christians,2
NH-015,Pistis Sophia,,nag-hammadi-gnostic,3rd–4th c. CE; medium,medium,Coptic,Askew Codex; influential in modern study,Later gnostic Christian,"Risen Jesus teaches disciples; Sophia’s fall/repentance; cosmic ranks, mysteries",Askew Codex; influential in modern study,"Late, esoteric, complex cosmology",Uses Jesus/apostles as revealers beyond NT,Schmidt/MacDermot; public translations,Major late antique gnostic compendium outside Nag Hammadi,2
NH-016,Books of Jeu,,nag-hammadi-gnostic,3rd–4th c. CE; medium,medium,Coptic,Bruce Codex,Later gnostic ritual,"Jesus reveals seals, diagrams, baptisms, heavenly passage",Bruce Codex,Esoteric ritual manuals,Post-resurrection secret teaching,Schmidt/MacDermot,Evidence for ritualized ascent/salvation technology,2
NH-017,Dialogue of the Savior,"NHC III,5",nag-hammadi-gnostic,2nd–4th century CE composition/copy; exact date debated; medium-low confidence,low-medium,Coptic; earlier Greek composition or sources often hypothesized but not always extant,"NHC III,5",Nag Hammadi / Gnostic Christian or related late antique esoteric tradition,"Revelatory dialogue between the Savior and disciples, including ascent, rest, and instruction motifs.",Nag Hammadi codex preservation; circulation beyond that codex is text-specific and often uncertain.,"Associated with esoteric, gnostic, Valentinian, Sethian, or otherwise non-mainstream theological circles; not received in later catholic/orthodox/protestant canons.",Post-resurrection discourse related to sayings/dialogue traditions.,Nag Hammadi Library in English; Coptic Gnostic Library / Brill editions; Layton where applicable.,Added in v0.2 to expand Nag Hammadi tractate coverage; item-level dating and witnesses need further source pass.,2
NH-018,Exegesis on the Soul,"NHC II,6",nag-hammadi-gnostic,2nd–4th century CE composition/copy; exact date debated; medium-low confidence,low-medium,Coptic; earlier Greek composition or sources often hypothesized but not always extant,"NHC II,6",Nag Hammadi / Gnostic Christian or related late antique esoteric tradition,Allegorical myth of the soul as a fallen woman restored through repentance and bridal reunion.,Nag Hammadi codex preservation; circulation beyond that codex is text-specific and often uncertain.,"Associated with esoteric, gnostic, Valentinian, Sethian, or otherwise non-mainstream theological circles; not received in later catholic/orthodox/protestant canons.","Uses prophetic, gospel, and mythic imagery in a Christian-gnostic moral allegory.",Nag Hammadi Library in English; Coptic Gnostic Library / Brill editions; Layton where applicable.,Added in v0.2 to expand Nag Hammadi tractate coverage; item-level dating and witnesses need further source pass.,2
NH-019,Authoritative Teaching,"Authentikos Logos; NHC VI,3",nag-hammadi-gnostic,2nd–4th century CE composition/copy; exact date debated; medium-low confidence,low-medium,Coptic; earlier Greek composition or sources often hypothesized but not always extant,"Authentikos Logos; NHC VI,3",Nag Hammadi / Gnostic Christian or related late antique esoteric tradition,"Instructional discourse on the soul’s descent, passions, and return to spiritual life.",Nag Hammadi codex preservation; circulation beyond that codex is text-specific and often uncertain.,"Associated with esoteric, gnostic, Valentinian, Sethian, or otherwise non-mainstream theological circles; not received in later catholic/orthodox/protestant canons.",Uses sapiential and ascetic themes rather than direct narrative canon expansion.,Nag Hammadi Library in English; Coptic Gnostic Library / Brill editions; Layton where applicable.,Added in v0.2 to expand Nag Hammadi tractate coverage; item-level dating and witnesses need further source pass.,2
NH-020,Tripartite Tractate,"NHC I,5",nag-hammadi-gnostic,2nd–4th century CE composition/copy; exact date debated; medium-low confidence,low-medium,Coptic; earlier Greek composition or sources often hypothesized but not always extant,"NHC I,5",Nag Hammadi / Gnostic Christian or related late antique esoteric tradition,"Large Valentinian theological treatise on Father, Son, aeons, fall, creation, and restoration.",Nag Hammadi codex preservation; circulation beyond that codex is text-specific and often uncertain.,"Associated with esoteric, gnostic, Valentinian, Sethian, or otherwise non-mainstream theological circles; not received in later catholic/orthodox/protestant canons.","Systematic Valentinian reinterpretation of creation, salvation, and church identity.",Nag Hammadi Library in English; Coptic Gnostic Library / Brill editions; Layton where applicable.,Added in v0.2 to expand Nag Hammadi tractate coverage; item-level dating and witnesses need further source pass.,2
NH-021,Valentinian Exposition,"NHC XI,2",nag-hammadi-gnostic,2nd–4th century CE composition/copy; exact date debated; medium-low confidence,low-medium,Coptic; earlier Greek composition or sources often hypothesized but not always extant,"NHC XI,2",Nag Hammadi / Gnostic Christian or related late antique esoteric tradition,Fragmentary Valentinian exposition with associated liturgical/sacramental pieces.,Nag Hammadi codex preservation; circulation beyond that codex is text-specific and often uncertain.,"Associated with esoteric, gnostic, Valentinian, Sethian, or otherwise non-mainstream theological circles; not received in later catholic/orthodox/protestant canons.",Reflects Valentinian myth and sacramental theology in relation to Christian tradition.,Nag Hammadi Library in English; Coptic Gnostic Library / Brill editions; Layton where applicable.,Added in v0.2 to expand Nag Hammadi tractate coverage; item-level dating and witnesses need further source pass.,2
NH-022,Paraphrase of Shem,"NHC VII,1",nag-hammadi-gnostic,2nd–4th century CE composition/copy; exact date debated; medium-low confidence,low-medium,Coptic; earlier Greek composition or sources often hypothesized but not always extant,"NHC VII,1",Nag Hammadi / Gnostic Christian or related late antique esoteric tradition,"Long revelatory apocalypse to Shem concerning cosmic powers, nature, and salvation.",Nag Hammadi codex preservation; circulation beyond that codex is text-specific and often uncertain.,"Associated with esoteric, gnostic, Valentinian, Sethian, or otherwise non-mainstream theological circles; not received in later catholic/orthodox/protestant canons.",Uses biblical patriarch Shem as revealer in a noncanonical apocalypse.,Nag Hammadi Library in English; Coptic Gnostic Library / Brill editions; Layton where applicable.,Added in v0.2 to expand Nag Hammadi tractate coverage; item-level dating and witnesses need further source pass.,2
NH-023,Melchizedek,"NHC IX,1",nag-hammadi-gnostic,2nd–4th century CE composition/copy; exact date debated; medium-low confidence,low-medium,Coptic; earlier Greek composition or sources often hypothesized but not always extant,"NHC IX,1",Nag Hammadi / Gnostic Christian or related late antique esoteric tradition,Fragmentary tractate portraying Melchizedek in revelatory and possibly christological/sacrificial terms.,Nag Hammadi codex preservation; circulation beyond that codex is text-specific and often uncertain.,"Associated with esoteric, gnostic, Valentinian, Sethian, or otherwise non-mainstream theological circles; not received in later catholic/orthodox/protestant canons.",Reworks the biblical Melchizedek figure known from Genesis/Psalms/Hebrews.,Nag Hammadi Library in English; Coptic Gnostic Library / Brill editions; Layton where applicable.,Added in v0.2 to expand Nag Hammadi tractate coverage; item-level dating and witnesses need further source pass.,2
NH-024,Thought of Norea,"NHC IX,2",nag-hammadi-gnostic,2nd–4th century CE composition/copy; exact date debated; medium-low confidence,low-medium,Coptic; earlier Greek composition or sources often hypothesized but not always extant,"NHC IX,2",Nag Hammadi / Gnostic Christian or related late antique esoteric tradition,"Short revelation involving Norea and archontic opposition, connected to Sethian mythic tradition.",Nag Hammadi codex preservation; circulation beyond that codex is text-specific and often uncertain.,"Associated with esoteric, gnostic, Valentinian, Sethian, or otherwise non-mainstream theological circles; not received in later catholic/orthodox/protestant canons.",Expands Genesis flood/family mythology through the figure of Norea.,Nag Hammadi Library in English; Coptic Gnostic Library / Brill editions; Layton where applicable.,Added in v0.2 to expand Nag Hammadi tractate coverage; item-level dating and witnesses need further source pass.,2
NH-025,Marsanes,"NHC X,1",nag-hammadi-gnostic,2nd–4th century CE composition/copy; exact date debated; medium-low confidence,low-medium,Coptic; earlier Greek composition or sources often hypothesized but not always extant,"NHC X,1",Nag Hammadi / Gnostic Christian or related late antique esoteric tradition,Highly fragmentary Sethian/Platonizing ascent and revelation text with technical metaphysical vocabulary.,Nag Hammadi codex preservation; circulation beyond that codex is text-specific and often uncertain.,"Associated with esoteric, gnostic, Valentinian, Sethian, or otherwise non-mainstream theological circles; not received in later catholic/orthodox/protestant canons.",Part of ascent/metaphysical literature with limited direct canonical narrative relation.,Nag Hammadi Library in English; Coptic Gnostic Library / Brill editions; Layton where applicable.,Added in v0.2 to expand Nag Hammadi tractate coverage; item-level dating and witnesses need further source pass.,2
NTA-A-001,Acts of Paul and Thecla,,new-testament-apocrypha-acts-epistles-apocalypses,late 2nd c. CE; medium-high,high,"Greek, Latin, Syriac, Armenian, Coptic",Wide manuscript and cultic influence,Popular Christian ascetic/martyr romance,"Thecla hears Paul, rejects marriage, survives martyrdom, baptizes herself in crisis",Wide manuscript and cultic influence,Tertullian says presbyter fabricated Acts of Paul; female authority/asceticism contested,Expands Pauline mission,Elliott; Barrier; Burke,"Major for women, asceticism, baptism, martyrdom",2
NTA-A-002,Acts of Peter,,new-testament-apocrypha-acts-epistles-apocalypses,late 2nd c. CE; medium,medium,Greek/Latin fragments,Patristic notices; Vercelli Acts,Apocryphal apostolic acts,Peter contests Simon Magus; martyrdom upside down,Patristic notices; Vercelli Acts,"Legendary, encratite/heterodox elements",Expands Acts and Peter traditions,Elliott; Schneemelcher,Source of Peter’s upside-down crucifixion,2
NTA-A-003,Acts of John,,new-testament-apocrypha-acts-epistles-apocalypses,2nd c. CE; medium,medium,Greek fragments; Latin,Known and condemned; manuscript fragments,"Apocryphal apostolic acts, often docetic/encratite",John’s miracles; hymn/dance of Jesus; docetic passion,Known and condemned; manuscript fragments,Docetic theology; condemned at Nicaea II for some passages,Expands Johannine tradition,Elliott; Schneemelcher,Key for non-mainstream Christology and ritual hymn,2
NTA-A-004,Acts of Thomas,,new-testament-apocrypha-acts-epistles-apocalypses,early 3rd c. CE; medium-high,high,"Syriac, Greek",Wide Syriac/Greek transmission; East Syrian influence,Syriac Christianity/Thomas tradition,Thomas evangelizes India; asceticism; Hymn of the Pearl,Wide Syriac/Greek transmission; East Syrian influence,Encratite tendencies; legendary apostolic romance,Expands Thomas mission,Elliott; Klijn,Major for Syriac Christianity and soul-descent myth,2
NTA-A-005,Acts of Andrew,,new-testament-apocrypha-acts-epistles-apocalypses,2nd–3rd c. CE; medium,medium,"Greek fragments, Latin",Patristic notices; later versions,Apocryphal apostolic acts,"Andrew’s travels, miracles, martyrdom",Patristic notices; later versions,Legendary/encratite; non-apostolic,Expands apostolic mission genre,Elliott,Shows ascetic apostolic ideal,2
NTA-AP-001,Apocalypse of Peter,,new-testament-apocrypha-acts-epistles-apocalypses,c. 125–150 CE; medium-high,high,Greek fragments; Ethiopic,Muratorian Fragment accepts for some; Codex Claromontanus list; Akhmim fragment,Early Christian apocalypse,Tours of heaven/hell; punishments for sins; sometimes universalist variants,Muratorian Fragment accepts for some; Codex Claromontanus list; Akhmim fragment,"Disputed, graphic otherworld tour; not universally received",Influences later hell imagery; parallels Revelation,Elliott; Buchholz,Major source for Christian heaven/hell imagination,2
NTA-AP-002,Apocalypse of Paul,Visio Pauli,new-testament-apocrypha-acts-epistles-apocalypses,3rd–4th c. CE; medium-high,high,"Greek, Latin, Syriac, many vernaculars",Extremely popular medieval transmission,Christian otherworld journey,Paul tours heavens and hells; intercession for damned in some versions,Extremely popular medieval transmission,"Late pseudepigraphy; visionary expansion, not apostolic canon",Builds on 2 Cor 12,Elliott; Silverstein-Hilhorst,Huge influence on medieval afterlife literature,2
NTA-AP-003,Epistula Apostolorum,,new-testament-apocrypha-acts-epistles-apocalypses,c. 140–170 CE; medium,medium,"Ethiopic, Coptic, Latin fragments",Multilingual transmission,Proto-orthodox anti-gnostic dialogue,"Risen Jesus teaches apostles; incarnation, resurrection, eschatology",Multilingual transmission,"Pseudonymous, late, anti-heretical manual not apostolic scripture",Harmonizes gospel/Acts; anti-gnostic,Hills; Elliott,Shows proto-orthodox apocrypha could also be anti-gnostic,2
NTA-E-001,3 Corinthians,,new-testament-apocrypha-acts-epistles-apocalypses,2nd c. CE; medium,medium,"Armenian, Latin, Syriac; Greek fragments",Included in Armenian Bible for a time; part of Acts of Paul,Anti-gnostic Pauline pseudepigraphy,"Corinthian letter to Paul and Paul’s reply defending creation, resurrection, prophets",Included in Armenian Bible for a time; part of Acts of Paul,Pseudepigraphic; rejected in broader canon,Imitates Pauline epistle; anti-docetic,Elliott; Armenian editions,Shows canon pressure created Pauline-like countertexts,2
NTA-E-002,Epistle to the Laodiceans,,new-testament-apocrypha-acts-epistles-apocalypses,4th c. CE Latin? medium,medium,Latin,Many Vulgate manuscripts; medieval use,Western Christian pseudepigraphy,Patchwork Pauline-sounding letter,Many Vulgate manuscripts; medieval use,Late compilation; no Greek apostolic basis; rejected by Jerome-ish tradition,Responds to Col 4:16 “letter from Laodicea”,Elliott; Vulgate appendix,Evidence of attempts to fill canonical gaps,2
NTA-E-003,Correspondence of Paul and Seneca,,new-testament-apocrypha-acts-epistles-apocalypses,4th c. CE; medium,medium,Latin,Widely copied in medieval West; Jerome/Augustine mention,Christian apologetic/pseudepigraphic,Friendly letters between Paul and philosopher Seneca,Widely copied in medieval West; Jerome/Augustine mention,Late forgery; not apostolic,Connects Paul to Roman philosophy,Elliott,Shows desire to validate Christianity via classical authority,2
NTA-G-001,Gospel of Thomas,,new-testament-apocrypha-gospels,c. 2nd c. CE final; some sayings may be early; debated,low,Coptic complete; Greek Oxyrhynchus fragments,Nag Hammadi codex; Greek papyri; patristic notices,Syrian/Thomasine; later Nag Hammadi,114 sayings of Jesus; salvation by discovering hidden interpretation,Nag Hammadi codex; Greek papyri; patristic notices,"Sayings-only, esoteric, associated with heterodox groups; no passion/resurrection narrative","Parallels Synoptic sayings, independent variants debated",Nag Hammadi Library; Layton; Gathercole,Major witness to sayings tradition and nonnarrative Jesus devotion,2
NTA-G-002,Gospel of Peter,,new-testament-apocrypha-gospels,c. 2nd c. CE; medium,medium,Greek fragment Akhmim; Oxyrhynchus?,Serapion of Antioch reports use at Rhossus; manuscript fragment,Early Christian passion gospel,Passion/resurrection with dramatic cross and anti-Jewish blame,Serapion of Antioch reports use at Rhossus; manuscript fragment,Suspected docetism; non-apostolic/limited use,Parallels canonical Passion narratives,Ehrman/Pleše; Elliott,Important for passion tradition development,2
NTA-G-003,Protoevangelium of James,Infancy Gospel of James,new-testament-apocrypha-gospels,mid-2nd c. CE; high,high,Greek; many versions,Very wide manuscript/versional and liturgical/art influence,Early Christian Marian infancy,"Birth and purity of Mary, Joseph, midwife, birth of Jesus in cave",Very wide manuscript/versional and liturgical/art influence,"Late, legendary, doctrinally influential but non-apostolic",Expands Matthew/Luke infancy narratives,Elliott; Burke; public translations,"Source for Marian traditions: parents Joachim/Anna, perpetual virginity imagery",2
NTA-G-004,Infancy Gospel of Thomas,,new-testament-apocrypha-gospels,2nd c. CE; medium,medium,"Greek, Syriac, Latin, Slavonic, etc.",Wide manuscript tradition,Popular Christian infancy legend,"Child Jesus performs miracles, sometimes punitive, learns/teaches",Wide manuscript tradition,Legendary portrayal troubling; late infancy expansion,Fills gap between Luke 2 and ministry,Elliott; Burke,Shows popular curiosity about divine childhood,2
NTA-G-005,Gospel of Mary,,new-testament-apocrypha-gospels,2nd c. CE; medium,medium,"Coptic, Greek fragments",Berlin Codex and Greek fragments,"Early Christian, often Gnostic-adjacent",Post-resurrection dialogue; Mary’s vision; conflict with Peter/Andrew,Berlin Codex and Greek fragments,"Fragmentary, Mary’s authority, esoteric revelation; limited circulation","Related to post-resurrection dialogues, discipleship conflict",King; Tuckett; Nag Hammadi-adjacent editions,"Key for gender, revelation, authority debates",2
NTA-G-006,Gospel of Judas,,new-testament-apocrypha-gospels,mid-2nd c. CE; medium,medium,Coptic codex; Irenaeus notice likely,Irenaeus mentions a Gospel of Judas; Coptic Codex Tchacos,Sethian/gnostic Christian,Jesus privately instructs Judas; critique of apostolic sacrifice; Judas’s role reinterpreted,Irenaeus mentions a Gospel of Judas; Coptic Codex Tchacos,Associated with condemned gnostic group; anti-mainstream theology,Reverses canonical Judas tradition,Critical edition by Kasser/Meyer/Wurst; National Geographic edition,Important for dissenting soteriology and anti-sacrificial polemic,2
NTA-G-007,Gospel of Philip,,new-testament-apocrypha-gospels,3rd c. CE? medium,medium,Coptic Nag Hammadi,Nag Hammadi; Valentinian context,Valentinian Christian,"Sacraments, bridal chamber, symbolic sayings, Mary Magdalene traditions",Nag Hammadi; Valentinian context,Esoteric sacramental Valentinian theology,"Reuses NT names/themes, not narrative gospel",Nag Hammadi Library; Layton,Evidence for Valentinian ritual theology,2
NTA-G-008,Gospel of Truth,,new-testament-apocrypha-gospels,c. 140–180 CE; medium-high,high,Coptic Nag Hammadi; Valentinian,Irenaeus may know it; Nag Hammadi copies,Valentinian homily/meditation,"Ignorance, error, Father’s name, Son revealing knowledge",Irenaeus may know it; Nag Hammadi copies,Valentinian theology rejected by proto-orthodox bishops,Uses Johannine/Pauline idiom,Nag Hammadi Library; Layton,Classic Valentinian theology of revelation,2
NTA-G-009,"Jewish-Christian Gospels: Hebrews, Nazarenes, Ebionites",,new-testament-apocrypha-gospels,2nd c. CE fragments; low-medium,low-medium,Greek fragments preserved in patristic quotations; maybe Semitic traditions,"Quoted by Jerome, Epiphanius, Origen etc.",Jewish-Christian groups,"Alternative gospel traditions emphasizing Hebrew/Aramaic context, Spirit, vegetarian/anti-sacrifice themes in Ebionite fragments","Quoted by Jerome, Epiphanius, Origen etc.","Fragmentary, group-specific, associated with marginalized Jewish-Christian communities",Related to Matthew and synoptic traditions,Schneemelcher; Klijn; Elliott,Important for diversity of Jewish Christianity,2
NTA-G-010,Egerton Gospel,Unknown Gospel,new-testament-apocrypha-gospels,c. 2nd c. CE manuscript; medium,medium,Greek papyrus,Early papyrus fragment,Early Christian gospel fragment,Jesus controversies and miracle-like episodes with Johannine/Synoptic echoes,Early papyrus fragment,Fragmentary; no known community/canon status,Parallels John/Synoptics but independent? debated,Papyrus editions; Ehrman/Pleše,Shows early gospel-like textual fluidity,2
NTA-G-011,Secret Gospel of Mark,,new-testament-apocrypha-gospels,Claimed Clement letter; authenticity highly disputed,high,Greek text known from modern photographs/transcription,Evidence contested; no ancient manuscript accessible,Alleged Alexandrian Christian,Longer Markan passage used for advanced instruction,Evidence contested; no ancient manuscript accessible,Disputed authenticity; excluded as unreliable/borderline,Allegedly expands Mark,Smith; Carlson; Brown debates,"Research gap/borderline; include only as disputed case, not established text",2
PSE-001,1 Enoch,Ethiopic Enoch,jewish-pseudepigrapha-apocalyptic,Composite 3rd c. BCE–1st c. CE; high for parts via Qumran,high,"Aramaic fragments, Greek, Ethiopic",Many Qumran fragments; quoted in Jude 14–15; Ethiopic canon,Enochic Jewish apocalyptic; Eth canonical,"Watchers, heavenly journeys, astronomy, dream visions, Son of Man-like figure, final judgment",Many Qumran fragments; quoted in Jude 14–15; Ethiopic canon,Watcher myth and calendrical/apocalyptic traditions marginalized in rabbinic/most Christian canon; Eth canonical,Expands Genesis 5–6; influences Daniel/Jude/Revelation themes,Charlesworth; Nickelsburg-VanderKam; Ethiopic editions; DSS,"Foundational for angels, demons, judgment, cosmic geography",2
PSE-002,Jubilees,Little Genesis,jewish-pseudepigrapha-apocalyptic,c. 160–150 BCE; high,high,Hebrew fragments; Ethiopic complete; Latin,Numerous Qumran copies; Ethiopic canon,Jewish rewritten Torah; Qumran; Eth canonical,Genesis–Exodus retold in jubilees; angelic revelation to Moses; 364-day calendar; strict law,Numerous Qumran copies; Ethiopic canon,Alternative calendar/legal positions; excluded Tanakh/most Christian,Rewrites Genesis/Exodus as heavenly tablets,VanderKam; Charlesworth; DSS,Shows Torah as angelically mediated cosmic chronology,2
PSE-003,Testaments of the Twelve Patriarchs,,jewish-pseudepigrapha-apocalyptic,Core Jewish 2nd–1st c. BCE? Christian redaction debated; medium,medium,Greek; Armenian/Slavonic; related Hebrew/Aramaic fragments,Wide Christian manuscript tradition; ancient citations,"Jewish ethical testament, Christian transmission","Jacob’s sons give moral exhortations, prophecies, messianic expectations",Wide Christian manuscript tradition; ancient citations,Composite/redacted; not canon; Christian interpolations complicated status,Expands Genesis patriarchs; related to Aramaic Levi,Charlesworth; Hollander-de Jonge,"Important for ethics, demonology, messianism",2
PSE-004,Testament of Moses,Assumption of Moses,jewish-pseudepigrapha-apocalyptic,c. early 1st c. CE; medium,medium,Latin fragment from Greek,Known to ancient writers; possibly alluded to in Jude re Michael dispute,Jewish apocalyptic testament,"Moses predicts Israel’s history, persecution, eschatological vindication",Known to ancient writers; possibly alluded to in Jude re Michael dispute,Fragmentary; pseudonymous; limited transmission,Expands Deuteronomy 31–34,Charlesworth; Tromp,Post-Hasmonean apocalyptic historiography,2
PSE-005,Life of Adam and Eve,Apocalypse of Moses,jewish-pseudepigrapha-apocalyptic,1st c. CE core? medium,medium,"Greek, Latin, Armenian, Georgian, Slavonic",Wide multilingual transmission,"Jewish Adam literature, Christian transmission",Adam/Eve after expulsion; repentance; Satan’s envy; death and burial,Wide multilingual transmission,Legendary expansion; not canonical,Expands Genesis 2–5; parallels Paul’s Adam themes indirectly,Charlesworth; Stone,"Source for fall, Satan, death traditions",2
PSE-006,Psalms of Solomon,,jewish-pseudepigrapha-apocalyptic,mid-1st c. BCE; medium-high,high,Greek; Syriac,Manuscript transmission in Christian circles; known collection,Pharisaic-leaning Jewish?,"Psalms lamenting Jerusalem, Pompey, sinners; Davidic messiah",Manuscript transmission in Christian circles; known collection,Too recent/political; not biblical Psalter,Imitates Psalms; messianic son of David,R.B. Wright in Charlesworth; critical editions,Key pre-Christian messianic expectation source,2
PSE-007,Odes of Solomon,,jewish-pseudepigrapha-apocalyptic,late 1st–2nd c. CE; medium,medium,"Syriac, Greek, Coptic fragments",Syriac manuscript tradition; citations?,Jewish-Christian or early Christian hymnic,"Mystical hymns of knowledge, living water, divine love, salvation",Syriac manuscript tradition; citations?,Sectarian/uncertain origin; outside liturgical canon,"Echoes Psalms, Johannine language",Charlesworth; Lattke,Important for early mystical soteriology,2
PSE-008,"Sibylline Oracles, Jewish",Christian books,jewish-pseudepigrapha-apocalyptic,2nd c. BCE–7th c. CE layers; medium,medium,Greek,Quoted by Christians; manuscripts,Jewish and Christian prophetic pseudepigraphy,"Pagan Sibyl prophesies monotheism, judgment, empires, messiah",Quoted by Christians; manuscripts,Pseudonymous pagan frame; composite; not canon,"Reworks prophets, Daniel, classical oracles",Collins; Charlesworth,Shows apologetic monotheism in Greco-Roman idiom,2
PSE-009,Apocalypse of Abraham,,jewish-pseudepigrapha-apocalyptic,c. 70–150 CE; medium,medium,Old Church Slavonic; Greek lost,Slavonic preservation; possible ancient Jewish origins,Jewish apocalyptic,"Abraham rejects idolatry, ascends heaven with angel Yahoel, sees cosmic history",Slavonic preservation; possible ancient Jewish origins,Esoteric pseudepigraphy; limited transmission,Expands Genesis 15; anti-idolatry like Abraham legends,Kulik; Charlesworth,Major angelomorphic and anti-idol apocalypse,2
PSE-010,2 Baruch,Syriac Apocalypse of Baruch,jewish-pseudepigrapha-apocalyptic,c. 100 CE; medium-high,high,Syriac; Greek lost,Syriac manuscripts; close to 4 Ezra,Jewish post-70 apocalypse,"Baruch asks about destruction; visions of history, messianic age, resurrection",Syriac manuscripts; close to 4 Ezra,Post-70 pseudepigraphon; Christian preservation only,"Parallels Jeremiah, Daniel, 4 Ezra",Klijn; Gurtner,Central witness to Jewish theodicy after temple destruction,2
PSE-011,3 Baruch,Greek Apocalypse of Baruch,jewish-pseudepigrapha-apocalyptic,2nd c. CE; medium,medium,"Greek, Slavonic",Greek/Slavonic manuscripts,Jewish/Christian apocalyptic,Baruch tours heavens; vine/Satan traditions; cosmic justice,Greek/Slavonic manuscripts,Mixed transmission; legendary heaven tour,Expands Jeremiah/Baruch traditions,Harlow; Charlesworth,Heavenly cosmology and moral order,2
PSE-012,Ascension of Isaiah,,jewish-pseudepigrapha-apocalyptic,"Jewish martyrdom core + Christian apocalypse, 1st–3rd c. CE; medium",medium,"Ethiopic, Latin, Slavonic, Coptic fragments",Multilingual transmission,Jewish-Christian/early Christian apocalyptic,Isaiah’s martyrdom; ascent through seven heavens; descent/ascent of Beloved,Multilingual transmission,Composite; docetic-sounding Christology in parts; noncanonical,Expands Isaiah; parallels apocalyptic ascent literature,Charlesworth; Norelli,Key for early layered heavens and angelomorphic Christology,2
PSE-013,Joseph and Aseneth,,jewish-pseudepigrapha-apocalyptic,1st c. BCE–2nd c. CE; debated,low,Greek; Syriac/Armenian/Latin,Broad manuscript tradition,Jewish diaspora romance; Christian transmission,"Aseneth converts from idolatry, angelic honeycomb, marries Joseph",Broad manuscript tradition,"Romance/legend, not scripture",Expands Genesis 41,Burchard; Kraemer,"Conversion, divine visitation, marriage symbolism",2
PSE-014,Ladder of Jacob,,jewish-pseudepigrapha-apocalyptic,1st c. CE? low-medium,low-medium,Slavonic; Greek lost,Slavonic manuscript preservation,"Jewish apocalyptic, Christian transmission",Jacob’s ladder vision interpreted cosmologically and historically,Slavonic manuscript preservation,Limited and late transmission,Expands Genesis 28,Charlesworth,Angels and cosmic ascent traditions,2
PSE-015,3 Enoch,Hebrew Book of Enoch,jewish-pseudepigrapha-apocalyptic,5th–6th c. CE? medium-low,low-medium,Hebrew,Hekhalot manuscript tradition,Hekhalot/early Jewish mysticism,Rabbi Ishmael ascends; Enoch transformed into Metatron; heavenly palaces,Hekhalot manuscript tradition,"Late, mystical, not biblical canon; rabbinic circles debated angel exaltation",Expands Enoch traditions and Ezekiel throne visions,Odeberg; Alexander in OTP,"Vital for Metatron and merkavah theology, slightly later than target period",2
